holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,Hour,traffic_volume
0,288.28,0,0,40,Clouds,scattered clouds,9,5545
0,289.36,0,0,75,Clouds,broken clouds,10,4516
0,289.58,0,0,90,Clouds,overcast clouds,11,4767
0,290.13,0,0,90,Clouds,overcast clouds,12,5026
0,291.14,0,0,75,Metro_Interstate_Traffic_Volume,broken clouds,13,4918
0,291.72,0,0,1,Clear,sky is clear,14,5181
0,293.17,0,0,1,Clear,sky is clear,15,5584
0,293.86,0,0,1,Clear,sky is clear,16,6015
0,294.14,0,0,20,Clouds,few clouds,17,5791
0,293.1,0,0,20,Clouds,few clouds,18,4770
0,290.97,0,0,20,Clouds,few clouds,19,3539
0,289.38,0,0,1,Clear,sky is clear,20,2784
0,288.61,0,0,1,Clear,sky is clear,21,2361
0,287.16,0,0,1,Clear,sky is clear,22,1529
0,285.45,0,0,1,Clear,sky is clear,23,963
0,284.63,0,0,1,Clear,sky is clear,24,506
0,283.47,0,0,1,Clear,sky is clear,1,321
0,281.18,0,0,1,Clear,sky is clear,2,273
0,281.09,0,0,1,Clear,sky is clear,3,367
0,279.53,0,0,1,Clear,sky is clear,4,814
0,278.62,0,0,1,Clear,sky is clear,5,2718
0,278.23,0,0,1,Clear,sky is clear,6,5673
0,278.12,0,0,1,Clear,sky is clear,7,6511
0,282.48,0,0,1,Clear,sky is clear,8,5471
0,291.97,0,0,1,Clear,sky is clear,9,5097
0,293.23,0,0,1,Clear,sky is clear,10,4887
0,294.31,0,0,1,Clear,sky is clear,11,5337
0,295.17,0,0,1,Clear,sky is clear,12,5692
0,295.13,0,0,1,Clear,sky is clear,13,6137
0,293.66,0,0,20,Clouds,few clouds,14,4623
0,290.65,0,0,20,Clouds,few clouds,15,3591
0,288.19,0,0,20,Clouds,few clouds,16,2898
0,287.1,0,0,1,Clear,sky is clear,17,2637
0,286.25,0,0,1,Clear,sky is clear,18,1777
0,285.26,0,0,1,Clear,sky is clear,19,1015
0,284.55,0,0,1,Clear,sky is clear,20,598
0,283.47,0,0,1,Clear,sky is clear,21,369
0,283.17,0,0,1,Clear,sky is clear,22,312
0,282.04,0,0,1,Clear,sky is clear,23,367
0,281.69,0,0,1,Clear,sky is clear,24,835
0,281.32,0,0,1,Clear,sky is clear,1,2726
0,280.74,0,0,1,Clear,sky is clear,2,5689
0,280.57,0,0,1,Clear,sky is clear,3,6990
0,281.86,0,0,1,Clear,sky is clear,4,5985
0,284.98,0,0,1,Clear,sky is clear,5,5309
